成交時間,買賣別,商品名稱,口數,新倉價,平倉價,手續費,期交稅,平倉損益淨額
2025/08/28 12:07:01,買進->賣出,小型期09,1,"23,845","24,248",42,48,"20,060"
2025/08/21 20:12:00,買進->賣出,小型期09,1,"23,777","23,780",42,48,60
2025/08/21 21:13:47,買進->賣出,小型期09,1,"23,800","23,801",42,48,-40
2025/08/21 21:26:49,買進->賣出,小型期09,1,"23,815","23,811",42,48,-290
2025/08/21 21:45:21,買進->賣出,小型期09,1,"23,820","23,820",42,48,-90
2025/08/22 9:02:43,買進->賣出,小型期09,1,"23,909","23,891",42,48,-990
2025/08/22 9:20:00,買進->賣出,小型期09,1,"23,849","23,832",42,48,-940
2025/08/22 9:40:36,買進->賣出,小型期09,1,"23,840","23,820",42,48,"-1,090"
2025/08/22 9:56:15,買進->賣出,小型期09,1,"23,850","23,855",42,48,160
2025/08/22 9:58:32,買進->賣出,小型期09,1,"23,855","23,844",42,48,-640
2025/08/15 13:08:48,買進->賣出,小型期08,1,"24,340","24,340",42,48,-90
2025/08/15 9:12:48,買進->賣出,小型期08,1,"24,205","24,207",42,48,10
2025/08/14 20:30:13,買進->賣出,小型期08,1,"24,255","24,240",42,48,-840
2025/08/14 15:00:00,買進->賣出,小型期08,1,"24,260","24,239",42,48,"-1,140"
2025/08/14 10:19:51,買進->賣出,小型期08,1,"24,250","24,242",42,48,-490
2025/08/14 10:00:10,買進->賣出,小型期08,1,"24,270","24,271",42,48,-40
2025/08/13 11:26:41,買進->賣出,小型期08,1,"24,350","24,348",42,48,-190
2025/08/05 22:32:31,買進->賣出,小型期08,1,"23,450","23,449",42,46,-138
2025/08/05 9:15:38,買進->賣出,小型期08,1,"23,540","23,440",42,47,"-5,089"
2025/08/01 1:27:20,買進->賣出,小型期08,1,"23,415","23,398",42,46,-938
2025/07/31 23:25:33,買進->賣出,小型期08,1,"23,415","23,400",42,46,-838
2025/07/31 23:15:34,買進->賣出,小型期08,1,"23,390","23,409",42,46,862
2025/07/31 9:02:49,買進->賣出,小型期08,1,"23,396","23,381",42,46,-838
2025/07/31 9:01:26,買進->賣出,小型期08,1,"23,405","23,380",42,46,"-1,338"
2025/07/31 3:00:27,買進->賣出,小型期08,1,"23,230","23,231",42,46,-38
2025/07/30 9:20:56,買進->賣出,小型期08,1,"23,239","23,240",42,46,-38
2025/07/29 22:52:38,買進->賣出,小型期08,1,"23,219","23,216",42,46,-238
2025/07/29 19:21:43,買進->賣出,小型期08,1,"23,207","23,203",42,46,-288
2025/07/29 17:32:44,買進->賣出,小型期08,1,"23,205","23,186",42,46,"-1,038"
2025/07/29 17:00:00,買進->賣出,小型期08,1,"23,210","23,190",42,46,"-1,088"
2025/07/29 9:59:02,買進->賣出,小型期08,1,"23,110","23,170",42,46,"2,912"
2025/07/23 9:28:27,買進->賣出,小型期08,1,"23,120","23,090",42,46,"-1,588"
2025/07/23 8:59:20,買進->賣出,小型期08,1,"23,114","23,090",42,46,"-1,288"
2025/07/23 8:51:29,買進->賣出,小型期08,1,"23,110","23,078",42,46,"-1,688"
2025/07/22 11:23:28,買進->賣出,小型期08,1,"22,490","23,128",42,45,"31,813"
2025/07/04 13:33:29,買進->賣出,小型期07,1,"22,460","22,453",42,44,-436
2025/07/04 13:06:45,買進->賣出,小型期07,1,"22,460","22,436",42,44,"-1,286"
2025/07/04 11:53:14,買進->賣出,小型期07,1,"22,552","22,450",42,45,"-5,187"
